Matrix_Size,Algorithm,Avg_Time_s,Min_Time_s,Max_Time_s,Std_Time_s,Speedup_vs_NumPy,NumPy_Time_s
430,LongNums NAIVE_TRANSPOSED,0.049158970514933266,0.04880809783935547,0.049761056900024414,0.0005237976600877018,0.01738383964123299,0.0008545716603597006
430,LongNums SIMD_NAIVE,0.08010300000508626,0.0797891616821289,0.08055996894836426,0.00040484656510254846,0.010668410175716743,0.0008545716603597006
430,LongNums ARM_NEON,0.03363664944966634,0.03345489501953125,0.03378915786743164,0.0001690396693124736,0.02540596861879706,0.0008545716603597006
430,LongNums STRASSEN,0.04249254862467448,0.04198479652404785,0.043356895446777344,0.0007523521183444588,0.020111094486421788,0.0008545716603597006
430,LongNums WINOGRAD,0.04240131378173828,0.0417020320892334,0.04282999038696289,0.0006107313773670686,0.020154367498106954,0.0008545716603597006
430,LongNums ALPHA_TENSOR,0.05379223823547363,0.053392887115478516,0.05421304702758789,0.00041050078456367634,0.01588652356533006,0.0008545716603597006
430,LongNums AUTO,0.04296199480692545,0.04238724708557129,0.04382491111755371,0.0007609207048682223,0.01989134033929784,0.0008545716603597006
460,NumPy matmul,0.0011528333028157551,0.0010957717895507812,0.0012137889862060547,5.910489063788296e-05,1.0,0.0011528333028157551
460,LongNums NAIVE,0.10243686040242513,0.09879183769226074,0.1096498966217041,0.006246791274705302,0.011254086647002143,0.0011528333028157551
460,LongNums NAIVE_TRANSPOSED,0.06089289983113607,0.06008481979370117,0.06217694282531738,0.0011243443631738662,0.01893214653946046,0.0011528333028157551
460,LongNums SIMD_NAIVE,0.0990758736928304,0.09855198860168457,0.09975099563598633,0.000613643957136967,0.011635863100132112,0.0011528333028157551
460,LongNums ARM_NEON,0.041807969411214195,0.04106903076171875,0.043035030364990234,0.001070040255302603,0.0275744868514597,0.0011528333028157551
460,LongNums STRASSEN,0.05059218406677246,0.05019330978393555,0.05080819129943848,0.00034583245662524116,0.022786786616964892,0.0011528333028157551
460,LongNums WINOGRAD,0.050049384435017906,0.04931902885437012,0.05115818977355957,0.0009762409467472162,0.023033915718035397,0.0011528333028157551
460,LongNums ALPHA_TENSOR,0.0628066857655843,0.06234407424926758,0.06344985961914062,0.0005745801852469188,0.01835526407361339,0.0011528333028157551
460,LongNums AUTO,0.05034677187601725,0.04987192153930664,0.050762176513671875,0.0004480946587471251,0.022897859383213183,0.0011528333028157551
490,NumPy matmul,0.001373291015625,0.0011641979217529297,0.0015597343444824219,0.00019873858286156964,1.0,0.001373291015625
490,LongNums NAIVE,0.12463561693827312,0.12103390693664551,0.1315751075744629,0.006011223868317009,0.011018447610406056,0.001373291015625
490,LongNums NAIVE_TRANSPOSED,0.07276233037312825,0.07181596755981445,0.07420897483825684,0.0012725298648858688,0.018873653559234656,0.001373291015625
490,LongNums SIMD_NAIVE,0.12096349398295085,0.12079787254333496,0.12125992774963379,0.0002573084765441808,0.011352937736889097,0.001373291015625
490,LongNums ARM_NEON,0.05003619194030762,0.04977989196777344,0.050537824630737305,0.0004344612609305603,0.027445953866019907,0.001373291015625
490,LongNums STRASSEN,0.058024962743123375,0.05727887153625488,0.05869007110595703,0.0007090766687410181,0.023667245108016044,0.001373291015625
490,LongNums WINOGRAD,0.05782175064086914,0.057360172271728516,0.05861210823059082,0.0006876828798127331,0.023750422642069585,0.001373291015625
490,LongNums ALPHA_TENSOR,0.07288702328999837,0.07045102119445801,0.07451224327087402,0.002148582536601129,0.018841365083068832,0.001373291015625
490,LongNums AUTO,0.06424649556477864,0.06337690353393555,0.06544065475463867,0.0010694742426878027,0.021375345122759796,0.001373291015625
